"id";"page";"site_title";"original_file_name";"extension";"url";"download_status";"direction";"package";"content_short";"year";"proposed_name";"ocr_status";"notes"
"15";"1";"Роз'яснення щодо тендеру внесення змін 2026 ПМД";"JPbqdZ5ELq9tlcLrsi6vPmcDknGsUymCiBxurIC4.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/02/23/JPbqdZ5ELq9tlcLrsi6vPmcDknGsUymCiBxurIC4.pdf";"не завантажено";"";"";"";"";"";"";""
"16";"1";"Роз’яснення щодо принципу оплати та правила обліку послуг за пакетом медичних послуг «Медична реабілітація немовлят, які народились передчасно та/або хворими»";"xIYsZVmJPND02yieOgtG1LogPvH2YOy8XTa4UttS.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/02/13/xIYsZVmJPND02yieOgtG1LogPvH2YOy8XTa4UttS.pdf";"не завантажено";"";"";"";"";"";"";""
"17";"1";"Роз'яснення щодо відповідності надавача медичних послуг з надання первинної медичної допомоги додатковим вимогам до обсягу медичних послуг із супроводу та лікування дорослих та дітей, хворих на туберкульоз, на первинному рівні медичної допомоги";"albYTIWki0JhSht8MKSST76UXbKHLi8vmRBBZnqh.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/02/02/albYTIWki0JhSht8MKSST76UXbKHLi8vmRBBZnqh.pdf";"не завантажено";"";"";"";"";"";"";""
"18";"1";"Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Медична допомога дітям, які потребують лікування та постійного спостереження», а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров’я (далі - ЕСОЗ)";"v0DqE3qGSdYempcWpSrX1bBHTeeISovpnmrMzjfV.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/01/14/v0DqE3qGSdYempcWpSrX1bBHTeeISovpnmrMzjfV.pdf";"не завантажено";"";"";"";"";"";"";""
"19";"1";"Роз’яснення щодо застосування поняття «курсова доза» при наданні та обліку медичних послуг за пакетом «Радіологічне лікування та супровід пацієнтів з онкологічними захворюваннями в стаціонарних та амбулаторних умовах»";"a522ErgeKADyREDlv9jv5uk02wBNScboXjgdb91X.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/01/14/a522ErgeKADyREDlv9jv5uk02wBNScboXjgdb91X.pdf";"не завантажено";"";"";"";"";"";"";""
"20";"1";"Роз'яснення про відкриття оголошення про укладення договору про медичне обслуговування населення за програмою медичних гарантій щодо надання медичних послуг за напрямом «Первинна медична допомога» на 2026 рік";"N2TaLt87LdtUjWGbCjZMyEnIjgHoyxrUC8iBNvWn.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/01/12/N2TaLt87LdtUjWGbCjZMyEnIjgHoyxrUC8iBNvWn.pdf";"не завантажено";"";"";"";"";"";"";""
"21";"1";"Інформування щодо кодування діагнозів/інтервенцій у електронних медичних записах про надання медичних послуг в стаціонарних умовах (автоматичний моніторинг у 2026 році)";"A0L6MSaLOVTyQid2EDRX2EGCOey1T9VFGC8eRSLY.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/01/08/A0L6MSaLOVTyQid2EDRX2EGCOey1T9VFGC8eRSLY.pdf";"не завантажено";"";"";"";"";"";"";""
"22";"1";"Роз'яснення щодо переліку каналів, за якими надавачі медичних послуг можуть повідомити про можливі порушення антикорупційного законодавства працівниками НСЗУ.pdf";"KwDg2t7ctkZDW5OfA3czUYEEGUSHURJmV7oWSQdC.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/11/12/KwDg2t7ctkZDW5OfA3czUYEEGUSHURJmV7oWSQdC.pdf";"не завантажено";"";"";"";"";"";"";""
"23";"1";"Роз'яснення щодо виконання вимог Порядку реалізації експериментального проекту щодо оплати закладам охорони здоров’я послуги довготривалого медсестринського догляду внутрішньо переміщених осіб";"DQRHZUTt6BcOZjQtnSINx1nxmCtUjIuYyDJXNa1T.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/11/07/DQRHZUTt6BcOZjQtnSINx1nxmCtUjIuYyDJXNa1T.pdf";"не завантажено";"";"";"";"";"";"";""
"24";"1";"Роз'яснення щодо змін у пакеті «Медичний огляд осіб, який організовується територіальними центрами комплектування та соціальної підтримки»";"PxkLQ2bdoo4AVzRGXlnaYj3pVghQTCQ8VdXdBSbB.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/11/05/PxkLQ2bdoo4AVzRGXlnaYj3pVghQTCQ8VdXdBSbB.pdf";"не завантажено";"";"";"";"";"";"";""
"25";"1";"Роз'яснення щодо підготовки до контрактування на 2026 рік в частині реєстрації медичного обладнання";"YrSRfVyBAEsh9BP2qoF6nnSqVeGFuNQlGjGO3oXA.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/10/30/YrSRfVyBAEsh9BP2qoF6nnSqVeGFuNQlGjGO3oXA.pdf";"не завантажено";"";"";"";"";"";"";""
"26";"1";"Роз'яснення щодо змін у форму зубопротезування і зуболікування - додано вкладку для заповнення «Бранці»";"aLePetsg6ogsUdOVl57aF3JhEWIqZ6n9ObXY04fj.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/10/23/aLePetsg6ogsUdOVl57aF3JhEWIqZ6n9ObXY04fj.pdf";"не завантажено";"";"";"";"";"";"";""
